lang_a,lang_b,idx_a,idx_b,similarity,mutual,url_a,url_b
en,es,4903,1211,0.3149,True,https://whyy.org/articles/after-bidens-first-year-the-virus-and-disunity-rage-on/,https://www.laopinion.com.co/columnistas/el-mundo-sigue-inquieto
es,pt,1118,388,0.3056,True,https://www.cruzrojacolombiana.org/la-cruz-roja-casanare-entrego-soluciones-sanitizantes-a-personal-medico-e-instituciones/,http://www.cruzvermelha.org.br/pb/em-uniao-com-salesforce-e-parceiros-cruz-vermelha-brasileira-doa-mais-de-150-mil-itens-hospitalares-e-120-cartoes-alimentacao-em-palmas/
en,es,4743,955,0.3032,True,https://abc7news.com/nicole-hurricane-storm-tropical-path/12433907/,https://www.elheraldo.co/region-caribe/iota-paso-huracan-de-categoria-4-y-esta-73-km-de-providencia-773629
en,es,442,1121,0.3018,True,https://www.msf.org/cameroon,https://www.cruzrojacolombiana.org/la-smart-clinic-inicia-operaciones-en-el-departamento-del-atlantico/
en,es,111,1131,0.2993,True,https://stluciatimes.com/147920/2022/11/saint-lucia-mobilising-regional-international-help-after-devastating-floods/,https://www.eje21.com.co/2010/03/hoy-regresa-a-la-libertad-pablo-emilio-moncayo/
en,pt,79,446,0.2955,True,https://www.paho.org/en/countries-and-centers,https://www.fao.org/3/r7750f/r7750f0d.htm
en,es,4518,887,0.2878,True,https://grist.org/fossil-fuels/2011-07-14-will-north-america-be-the-new-middle-east/,https://www.elespectador.com/ambiente/bibo/el-cambio-climatico-ya-esta-aqui-ahora-que-nos-espera/
en,es,4676,1063,0.2863,True,https://kvia.com/health/2019/09/27/climate-change-is-raising-quite-the-stink-in-florida/,https://razonpublica.com/el-derecho-al-agua-en-rio-20-entre-bogota-y-nueva-york/
en,es,4654,1263,0.2862,True,https://grist.org/housing/louisiana-homeowner-insurance-hurricane-season/,https://www.portafolio.co/economia/finanzas/pense-dejar-dijo-expresidente-bancolombia-jorge-londono-149170
en,es,753,736,0.285,True,https://reliefweb.int/report/colombia/update-colombia-floods-04-sep-2007,https://reliefweb.int/report/colombia/colombia-afectaci-n-por-inundaciones-en-c-rdoba-flash-update-no-1-29062017
es,pt,630,401,0.2841,True,http://www.elnuevodia.com.co/nuevodia/colombia/498764-una-muerto-por-emergencia-en-importante-nacional-varios-carros-quedaron-atrapados,https://pleno.news/brasil/cidades/chuva-interrompe-fornecimento-de-energia-no-interior-da-bahia.html
en,es,4921,801,0.2839,True,https://www.abcactionnews.com/about-us/staff/shay-ryan,https://www.elcolombiano.com/futuro-en-espanol/invitados-futuro-en-espanol
es,pt,1209,399,0.2833,True,https://www.lafm.com.co/colombia/pablo-escobar-habria-jugado-un-partido-amistoso-con-maradona-que-se-sabe,https://extra.globo.com/esporte/fluminense/a-rejeicao-no-primeiro-clube-interesse-por-novelas-o-lado-cantor-as-varias-faces-do-craque-deco-4880130.html
en,es,432,702,0.2801,True,https://www.thenewhumanitarian.org/analysis/2021/5/5/whos-afraid-of-covid-19-somalias-battle-with-virus,https://www.lafm.com.co/colombia/minsalud-no-contempla-declarar-alerta-roja-nivel-nacional
es,pt,664,362,0.2794,True,https://www.cruzrojacolombiana.org/cruz-roja-colombiana-beneficia-a-miles-de-familias-con-el-programa-de-litros-que-ayudan/,https://pleno.news/brasil/cidades/saiba-como-ajudar-as-pessoas-afetadas-pelas-chuvas-na-bahia.html
es,pt,660,401,0.2789,False,https://diariodelhuila.com/271-municipios-afectados-por-las-lluvias/,https://pleno.news/brasil/cidades/chuva-interrompe-fornecimento-de-energia-no-interior-da-bahia.html
en,es,4493,1195,0.2777,True,http://www.miaminewtimes.com/best-of-miami/2006/people-and-places/best-new-building-6400874,https://www.eluniversal.com.co/blogs/es/patrimonio-siglo-xxi/historias-secretasplaza-de-san-diego3
en,pt,4955,270,0.2777,True,https://www.climatecentral.org/news/western-warmth-drives-temps-higher-20324,http://www2.cemaden.gov.br/02112016-previsao-de-risco-geo-hidrologico/
es,pt,1037,398,0.2756,True,https://cronicadelquindio.com/index.php/noticias/cultura-2/agendese-este-sabado-concierto-de-tango-y-cancion-latinoamericana-en-teatro-azul,https://portalamazonia.com/cultura/musica?start=620
en,es,2,75,0.2756,True,https://cdema.org/virtuallibrary/index.php/charim-hbook/methodology/9-preparedness-planning/9-1-early-warning-systems,https://cdema.org/ews-project
es,pt,627,230,0.2744,True,https://www.kienyke.com/colombia/colombianos-afectados-segunda-temporada-de-lluvias,https://noticias.r7.com/brasil/centro-de-monitoramento-ve-risco-de-deslizamentos-em-cinco-estados-02012022
en,pt,776,444,0.2737,True,https://www.fao.org/3/ad525e/ad525e07.htm,https://www.fao.org/3/t0395s/T0395S0F.HTM
en,pt,419,1203,0.2737,True,https://www.fao.org/3/ad525e/ad525e07.htm,https://www.fao.org/3/t0395s/T0395S0F.HTM
en,es,452,1121,0.2717,False,https://www.msf.org/drc-ebola-outbreaks,https://www.cruzrojacolombiana.org/la-smart-clinic-inicia-operaciones-en-el-departamento-del-atlantico/
es,pt,644,401,0.2713,False,https://diariodelhuila.com/43-personas-han-muerto-en-marzo-debido-a-las-fuertes-lluvias-en-colombia/,https://pleno.news/brasil/cidades/chuva-interrompe-fornecimento-de-energia-no-interior-da-bahia.html
en,es,1034,914,0.2688,True,https://colombiareports.com/cali-gang-threatens-to-displace-or-kill-entire-slum-1500-flee/,https://www.minuto30.com/asciende-a-mas-de-3-700-el-numero-de-desplazados-en-ituango/1260087/
en,es,3945,3951,0.2687,False,https://www.thepanamanews.com/2015/11/the-panama-news-blog-links-november-24-2015/,https://www.thepanamanews.com/2016/09/the-panama-news-blog-links-september-19-2016/
es,pt,1069,423,0.2629,True,https://razonpublica.com/espacio-digital-nuevo-cine-la-pandemia/,https://portalamazonia.com/estados/amazonas/nostalgia-relembre-cinemas-de-rua-de-manaus
en,es,4487,887,0.2599,False,https://www.climatecentral.org/news/new-report-climate-change-a-global-issue-with-regional-impacts-17404,https://www.elespectador.com/ambiente/bibo/el-cambio-climatico-ya-esta-aqui-ahora-que-nos-espera/
en,es,862,845,0.2575,True,https://thebogotapost.com/news-in-brief-protests-iachr-venezuelan-crisis-and-the-cauca-mudslide/37903/,https://colombiacheck.com/chequeos/gabriel-velasco-mezcla-verdades-y-mentiras-sobre-primera-imputacion-de-la-jep-contra-ex
es,pt,665,401,0.2571,False,https://www.lafm.com.co/bogota/casas-inundadas-y-vias-cerradas-lo-que-deja-la-ola-invernal-en-bogota-y-otras-partes-del,https://pleno.news/brasil/cidades/chuva-interrompe-fornecimento-de-energia-no-interior-da-bahia.html
en,es,4849,1065,0.2565,True,https://grist.org/accountability/111-ways-nate-silver-hire-roger-pielke-jr-doesnt-like-you/?ref=aaronhuertas.com,https://razonpublica.com/el-icanh-y-la-minga-indigena-la-ciencia-al-servicio-de-duque/
en,es,4490,970,0.2542,True,http://www.miaminewtimes.com/best-of-miami/2006/people-and-places/best-dolphins-player-6400956,https://www.semana.com/agenda/articulo/historia-secreta-copa-mundial-futbol-gol-del-siglo-mexico-1986-maradona-pele/69625/
en,es,4541,801,0.2532,False,https://abc7news.com/about/newsteam/monica-madden/,https://www.elcolombiano.com/futuro-en-espanol/invitados-futuro-en-espanol
es,pt,1246,387,0.251,True,https://www.minuto30.com/abren-nueva-sede-para-tramitar-pasaportes-en-el-centro-de-bogota/1259316/,https://www.ibahia.com/colunistas/ibahia-sobre-rodas-com-fabio-cota/porsche-inaugura-primeiro-showroom-na-bahia
en,es,429,1117,0.2502,True,https://www.wfp.org/countries/cameroon,https://www.cruzrojacolombiana.org/el-apoyo-psicosocial-a-la-ninez-del-amazonas-colombiano/
es,pt,841,453,0.2487,True,http://www.ideam.gov.co/web/cambio-climatico/proyecto-macizo,http://www2.cemaden.gov.br/cemaden-participa-da-renovacao-de-acordo-entre-brasil-e-reino-unido-para-estudos-sobre-clima-e-prevencao-de-desastres-naturais/
en,pt,4649,402,0.2475,True,https://6abc.com/post/100-girl-scouts-rescued-floodwaters-strand-group-pennsylvania/16780896/,https://www.ibahia.com/carnaval/e-o-tchan-relembra-momentos-policiais-vividos-no-carnaval
en,pt,4530,379,0.2468,True,https://www.cbsnews.com/america-decides/?ftag=CNM-00-10aab4i,https://oglobo.globo.com/blogs/malu-gaspar/post/2022/08/os-nomes-malditos-dos-governos-do-pt-que-bolsonaro-vai-trazer-para-o-horario-eleitoral.ghtml
en,es,4922,1247,0.2468,True,https://www.abcactionnews.com/financial-fitness/airlines-auction-seat-upgrades,https://www.minuto30.com/aerolineas-europeas-perdidas-junio/1262532/
en,es,4772,1083,0.2463,True,https://grist.org/food/salmon-vanishing-yukon-river-way-of-life-alaska-native/?utm_source=syndication&utm_medium=rss&utm_campaign=grist,https://rutasdelconflicto.com/rios-vida-muerte/donde-nace-cauca
en,es,4311,1173,0.2463,True,https://grist.org/article/2010-04-27-epa-scientist-atlantic-east-cost-shoreline/,https://www.elheraldo.co/sociedad/isla-verde-la-atlantida-del-caribe-colombiano-941643
en,es,4500,970,0.2452,False,http://www.miaminewtimes.com/best-of-miami/2010/people-and-places/best-heat-player-6402562,https://www.semana.com/agenda/articulo/historia-secreta-copa-mundial-futbol-gol-del-siglo-mexico-1986-maradona-pele/69625/
en,es,4820,1099,0.2452,True,https://abc7.com/post/holiday-shopping-supply-chain-covid-variant-delta/10969971/,https://www.bloomberglinea.com/2021/07/29/las-tarifas-de-envio-de-productos-basicos-aumenta-y-la-recuperacion-no-termina/
en,es,4908,778,0.2435,True,https://whyy.org/articles/swimming-while-black-a-new-exhibit-explores-black-resilience-at-the-pool/,https://www.las2orillas.co/eduardo-butron-hodwalker-el-camino-de-un-maestro-del-arte-plastico-ambientalista/
es,pt,1122,412,0.2435,False,https://www.cruzrojacolombiana.org/ungrd-y-cruz-roja-colombiana-recibiran-donaciones-en-especie-de-empresas-y-gremios-para-damnificados-en-san-andres-providencia-y-santa-catalina/,http://www.cruzvermelha.org.br/pb/com-parceiros-cruz-vermelha-brasileira-doa-75-mil-itens-hospitalares-e-kits-de-higiene-em-rio-branco/
en,es,1042,720,0.2432,True,https://colombiareports.com/40000-volunteers-primed-colombias-second-rainy-season/,https://www2.laopinion.com.co/colombia/unidad-del-riesgo-insta-gobiernos-locales-mitigar-riesgos-de-incendios-189818
en,pt,4648,386,0.2415,True,http://www.miaminewtimes.com/best-of-miami/2017/food-and-drink/best-restaurant-in-fort-lauderdale-9407555,https://www.ibahia.com/colunistas/feed-ba/feed-ba-rio-vermelho-se-movimenta-com-mais-cultura-na-casa-rosa
es,pt,926,392,0.2413,True,https://www.vanguardia.com/area-metropolitana/bucaramanga/restricciones-nocturnas-siguen-por-dos-semanas-mas-AI3912673,https://noticias.r7.com/brasil/caminhoneiros-bloqueiam-estradas-pelo-2-dia-consecutivo-no-pais-09092021
en,es,4879,807,0.2407,True,https://grist.org/health/ipcc-report-for-mental-health-climate-change-is-a-disaster/?utm_medium=social&utm_source=linktree&utm_campaign=for+mental+health%2C+landmark+climate+report+spells+disaster,https://www.eluniversal.com.co/cartagena/cartagena-es-una-de-las-ciudades-mas-vulnerables-al-cambio-climatico-CG5282523
en,es,122,770,0.2405,True,https://thevoiceslu.com/2016/12/st-lucia-benefit-major-biodiversity-grant/,https://www.elespectador.com/ambiente/bibo/restauracion-ecologica-para-la-conservacion-del-agua-en-salento/
en,es,4713,1052,0.2378,True,https://grist.org/food/think-we-can-end-californias-drought-by-eating-differently-think-again/?utm_source=newsletter&utm_medium=email&utm_term=EDIT%20Weekly&utm_campaign=weekly,https://razonpublica.com/cultura-tributaria-no-abusar-la-reforma/
en,es,4440,778,0.2374,False,http://www.miaminewtimes.com/best-of-miami/2008/people-and-places/best-local-artist-6401817,https://www.las2orillas.co/eduardo-butron-hodwalker-el-camino-de-un-maestro-del-arte-plastico-ambientalista/
en,pt,4726,339,0.2369,True,https://www.abcactionnews.com/news/region-polk/us-army-corps-begins-pumping-lake-bonny-after-weeks-of-flooding-homes,https://pleno.news/brasil/cidades/apos-perder-casa-pedreiro-usa-jangada-para-resgatar-vizinhos.html
en,pt,4647,423,0.2359,True,http://www.miaminewtimes.com/best-of-miami/2017/food-and-drink/best-bagels-9406261,https://portalamazonia.com/estados/amazonas/nostalgia-relembre-cinemas-de-rua-de-manaus
en,es,859,1181,0.2344,False,https://thebogotapost.com/colombia-heighten-security-venezuelan-border-introduction-e-readers-humanitarian-crisis-worsens/27622/,https://www.elnuevosiglo.com.co/articulos/09-23-2022-reapertura-de-frontera-un-reto-con-pronostico-reservado
en,pt,4308,209,0.2341,True,https://kstp.com/ap-top-news/a-look-at-some-of-the-deadliest-floods-in-the-us-in-the-last-25-years/,https://metsul.com/cenario-desta-semana-e-de-maior-risco-que-tempestade-ou-tornado/
en,pt,4443,423,0.2339,False,http://www.miaminewtimes.com/best-of-miami/2016/food-and-drink/best-mall-food-court-8511921,https://portalamazonia.com/estados/amazonas/nostalgia-relembre-cinemas-de-rua-de-manaus
en,es,4441,3936,0.2338,True,http://www.miaminewtimes.com/best-of-miami/2008/people-and-places/best-local-boy-gone-to-heaven-6401762,https://www.laestrella.com.pa/cafe-estrella/cultura/190908/jorge-artel-poeta-amigo
en,es,4244,650,0.2316,True,https://guardian.co.tt/news/nhc-ttms-monitoring-tropical-trouble-east-of-tt-6.2.1547968.cf60d98b60,https://www.eluniversal.com.co/colombia/ideam-alerta-sobre-amenaza-de-un-nuevo-ciclon-tropical-XM3790154
en,es,4536,1221,0.2309,False,http://www.miaminewtimes.com/best-of-miami/2006/bars-and-clubs/best-place-to-enjoy-a-tequila-sunset-6400761,https://www.las2orillas.co/alfredito-linares-y-su-mambo-rock-nunca-pague-payola-para-sonar-en-la-radio/
es,pt,949,386,0.2295,True,https://www.elpais.com.co/cali/con-trote-y-rumba-fitness-se-inicio-la-recreovida-en-el-bulevar-del-rio.html,https://www.ibahia.com/colunistas/feed-ba/feed-ba-rio-vermelho-se-movimenta-com-mais-cultura-na-casa-rosa
en,es,4241,1078,0.2294,True,https://www.odpm.gov.tt/node/19,https://razonpublica.com/la-amazonia-en-llamas-mas-alla-de-la-ilegalidad-y-el-estigma/
en,pt,4685,367,0.2278,True,https://www.climatecentral.org/news/statistics-show-just-how-intense-hurricane-sandy-was-15196,https://metsul.com/ciclone-se-forma-na-costa-do-sul-do-brasil-e-provoca-calamidade-na-bahia/
en,es,9,1177,0.2266,True,https://cdema.org/virtuallibrary/index.php/charim-hbook/methodology/2-analysing-hazards/2-1-introduction-to-hazards,https://www.elnuevosiglo.com.co/articulos/05-11-2022-amenazas-al-mundo
en,es,4207,3914,0.2263,True,https://guardian.co.tt/news/riverine-flood-alert-discontinued-6.2.1575600.e98d0b4e13,https://www.tvn-2.com/videos/noticias/video-mop-espera-cesen-lluvias-reparar_8_2017463.html
en,es,4671,854,0.2261,True,https://grist.org/Array/tracing-the-path-of-dominion-energys-atlantic-coast-natural-gas-pipeline/,https://rutasdelconflicto.com/especiales/carreteras_resguardo_nukak/
en,es,1091,1276,0.2257,True,https://thebogotapost.com/communities-suffer-post-conflict-violence/20456/,https://www.rcnradio.com/bogota/alertan-posibles-atentados-y-presencia-de-grupos-armados-en-bogota
en,pt,4644,261,0.2255,True,https://www.climatecentral.org/news/us-coastal-cities-swell-rising-seas-threaten-millions-20136,http://www2.cemaden.gov.br/23052016-previsao-de-risco-geo-hidrologico/
en,es,4659,1101,0.2235,True,https://www.climatecentral.org/press-release-affordable-housing,https://www.bloomberglinea.com/2021/08/26/hay-141-billones-en-creditos-de-vivienda-atrasados-en-al-menos-una-cuota/
en,es,4656,626,0.2234,True,https://wsvn.com/news/us-world/rain-pours-into-some-las-vegas-casinos-and-floods-streets-in-wettest-monsoon-season-in-a-decade/,https://www.elpais.com.co/cali/alerta-roja-en-rios-del-valle-por-temporada-de-lluvias.html
en,es,3925,3932,0.2232,False,https://www.thepanamanews.com/2016/06/no-agreement-at-barro-blanco-meeting/,https://www.thepanamanews.com/2016/09/barro-blanco-el-acuerdo-sin-acuerdo/
es,pt,722,360,0.2226,True,https://www.elespectador.com/ambiente/que-sucederia-si-hidroituango-se-rompe-article-792798/,http://www2.cemaden.gov.br/05112018-previsao-de-risco-geo-hidrologico/
en,es,721,417,0.2224,False,https://www.fao.org/3/T0537E/T0537E10.htm,https://www.fao.org/3/r7553b/R7553B04.htm
en,es,413,417,0.2224,True,https://www.fao.org/3/T0537E/T0537E10.htm,https://www.fao.org/3/r7553b/R7553B04.htm
en,es,4694,1125,0.2213,True,https://abc7ny.com/post/city-cleanup-corps-new-york-mayor-bill-de-blasio-recovery-for-all-of-us/11038343/,https://www.diarioadn.co/noticias/san-ignacio-el-epicentro-cultural-educativo-y-patrimonial-de-medellin+articulo+53483
en,es,925,1109,0.2207,False,https://www.unhcr.org/558193896.html,https://www.contagioradio.com/cidh-preocupada-por-alto-numero-personas-desplazamiento-forzado-colombia/
es,pt,837,259,0.2207,True,https://www.elheraldo.co/barranquilla/bajo-nivel-del-magdalena-amenaza-acueductos-592990,https://brasil.elpais.com/brasil/2019/01/30/politica/1548865246_200956.html
en,es,4563,1268,0.2206,True,https://grist.org/article/2010-04-26-oil-rig-leak-and-the-week-in-fossil-fuel-industry-disasters/,https://www.portafolio.co/economia/infraestructura/cartas-para-garantizar-autoabastecimiento-de-petroleo-y-gas-en-colombia-552636
en,es,3926,852,0.2196,True,https://www.thepanamanews.com/2018/09/a-bus-ride-on-a-rainy-wednesday-afternoon/,https://razonpublica.com/la-corrupcion-gran-problema-la-infraestructura-colombiana/
en,es,848,789,0.219,False,https://colombiareports.com/air-travel-colombia-severely-delayed-due-storm/,https://canal1.com.co/entretenimiento/estilo-de-vida/salvaron-accidente-de-avion-mexico/
en,es,4770,1311,0.2184,True,https://grist.org/article/2010-07-30-how-to-restore-the-colorado-river/,https://www.wradio.com.co/2022/07/17/publican-documental-que-aporto-al-informe-final-de-la-comision-de-la-verdad/
en,es,3904,1230,0.2183,True,https://www.thepanamanews.com/2018/05/book-chapter-country-dogs-the-streetwalkers-of-panama/,https://www.las2orillas.co/el-profesor-aleman-que-llego-a-tumaco-a-fundar-el-colegio-mas-antiguo-del-pacifico/
es,pt,704,206,0.2176,True,https://www.las2orillas.co/bogota-2020-2023-un-plan-de-desarrollo-pero-de-transmilenio/,http://www2.cemaden.gov.br/20022020-previsao-de-risco-geo-hidrologico/
en,es,4250,662,0.2173,True,https://www.odpm.gov.tt/node/15,https://telepacifico.com/mapa-del-sitio/
es,pt,1059,371,0.2171,True,https://razonpublica.com/el-ano-en-el-que-la-politica-volvio-a-la-calle/,https://oglobo.globo.com/blogs/malu-gaspar/post/2022/07/stf-ve-bravata-e-estrategia-eleitoreira-em-ataques-de-bolsonaro-durante-convencao.ghtml
en,pt,4826,384,0.217,True,https://abc7news.com/officials-want-tighter-safety-rules-for-pipelines-carrying-crude-oil-gasoline-and-other-hazardous-liquids-spill/1012275/,https://www.metropoles.com/brasil/bolsonaro-envia-marco-hidrico-ao-congresso-em-alguns-dias-diz-marinho
en,pt,4736,423,0.217,False,http://www.miaminewtimes.com/best-of-miami/2007/shopping-and-services/best-watch-repair-north-6401514,https://portalamazonia.com/estados/amazonas/nostalgia-relembre-cinemas-de-rua-de-manaus
en,es,4495,3961,0.2168,True,http://www.miaminewtimes.com/best-of-miami/2007/people-and-places/best-salty-adventure-6401311,https://www.tvn-2.com/contenido-exclusivo/estrella-panama-diario-publicandose_1_1024393.html
es,pt,417,414,0.2167,False,https://www.fao.org/3/r7553b/R7553B04.htm,https://www.cemaden.gov.br/publicacoes-cemaden/
es,pt,752,414,0.2167,True,https://www.fao.org/3/r7553b/R7553B04.htm,https://www.cemaden.gov.br/publicacoes-cemaden/
en,pt,4391,396,0.2165,True,https://abcnews.go.com/538/video/voters-harris-dei-candidate-538-politics-podcast-112815458,https://noticias.r7.com/brasilia/alckmin-anuncia-ex-ministros-parlamentares-e-ate-advogado-de-lula-para-transicao-veja-nomes-16112022
es,pt,1015,363,0.2164,True,https://colombiacheck.com/chequeos/maria-fernanda-cabal-dice-una-verdad-y-dos-falsedades-sobre-el-informe-de-la-comision-de,https://oglobo.globo.com/blogs/lauro-jardim/post/2022/08/tse-investiga-bolsonaro-por-ataques-as-urnas-em-reuniao-com-diplomatas-redes-terao-que-apagar-videos.ghtml?utm_source=globo.com&utm_medium=oglobo
es,pt,1269,384,0.2154,True,https://www.portafolio.co/economia/infraestructura/infraestructura-de-colombia-decalogo-con-el-que-trabajara-el-mintransporte-en-el-gobierno-petro-569800,https://www.metropoles.com/brasil/bolsonaro-envia-marco-hidrico-ao-congresso-em-alguns-dias-diz-marinho
es,pt,1233,384,0.2153,False,https://www.lasillavacia.com/historias/silla-nacional/asi-quedo-la-reforma-tributaria-aprobada-de-petro/,https://www.metropoles.com/brasil/bolsonaro-envia-marco-hidrico-ao-congresso-em-alguns-dias-diz-marinho
en,pt,3942,336,0.2147,True,https://www.thepanamanews.com/2015/08/varela-and-carrera-punt-on-barro-blanco/,http://www2.cemaden.gov.br/16112017-previsao-de-risco-geo-hidrologico/
en,es,3934,1180,0.214,True,https://newsroompanama.com/news/climate-change-rain-and-storms-will-dampen-year-end-activities,https://www.elnuevosiglo.com.co/articulos/08-04-2022-recursos-de-tributaria-llegarian-en-2024-de-donde-saldra-el-dinero-previo
es,pt,1194,398,0.2138,False,https://www.eltiempo.com/archivo/documento/CMS-16422953,https://portalamazonia.com/cultura/musica?start=620
es,pt,669,361,0.2128,True,https://www.elespectador.com/ambiente/el-pronostico-de-lluvias-en-colombia-para-este-fin-de-semana/,http://www2.cemaden.gov.br/author/alex-ovando/
es,pt,988,386,0.2127,False,https://www.rcnradio.com/bogota/en-bogota-habra-fiesta-no-brava-para-desincentivar-las-corridas-de-toros,https://www.ibahia.com/colunistas/feed-ba/feed-ba-rio-vermelho-se-movimenta-com-mais-cultura-na-casa-rosa
